Shark,Direction_of_Swim,Depth,Raw_w_another_shark,Raw_Position_other_shark,Raw_Depth_other_shark,Second_other_Shark,Second_Shark_Position,Second_Shark_Depth,Third_Other_Shark,Third_Shark_Position,Third_Shark_Depth
YU,CW,D,TR,B,E,,,,,,
TR,CC,B,YU,X,H,,,,,,
TR,CW,S,AL,X,E,,,,,,
YU,CW,S,TA,X,L,,,,,,
YU,CW,S,AL,A,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
YU,CW,S,TR,B,L,,,,,,
TR,CC,VD,YU,A,H,,,,,,
AL,CC,D,TR,X,L,TA,X,H,,,
TR,CW,VD,AL,X,H,YU,X,H,,,
TR,CC,S,TA,B,L,,,,,,
TA,CC,VD,TR,A,H,,,,,,
TR,CW,B,TA,A,H,,,,,,
AL,CW,B,TR,X,E,,,,,,
TR,CW,S,AL,B,E,,,,,,
AL,CW,S,TR,A,E,,,,,,
AL,CC,S,TR,A,E,,,,,,
TR,CC,S,AL,B,E,,,,,,
TR,CC,D,YU,N>A,H,,,,,,
YU,CW,S,TR,N>B,L,,,,,,
AL,CC,S,TR,X,,,,,,,
TR,CC,B,YU,X,L,,,,,,
AL,CW,B,YU,X,H,,,,,,
TR,CW,S,TA,X,B,,,,,,
AL,CW,B,YU,X,,,,,,,
AL,CW,S,YU,X,,,,,,,
TR,CW,S,TA,X,,,,,,,
TA,CC,D,AL,B,H,YU,B>N,H,,,
TR,CW,D,AL,A,H,,,,,,
TA,CW,S,YU,X,,,,,,,
AL,CW,S,TA,X,L,,,,,,
AL,CW,S,YU,X,,,,,,,
AL,CW,S,TR,B,,,,,,,
TR,CC,S,TR,X,L,,,,,,
TA,CW,B,AL,B,H,,,,,,
TA,CC,D,AL,B>N,H,,,,,,
TA,CC,D,TR,B,H,AL,N,H,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,X,,,,,,,
TR,CC,S,TA,B,L,,,,,,
AL,CW,S,AL,X,,,,,,,
TR,CW,B,TA,X,,YU,X,,,,
AL,CW,B,TR,X,,,,,,,
TR,CC,S,YU,B>N>A,E,,,,,,
AL,CW,S,TR,X,,,,,,,
YU,CW,S,TR,N,,,,,,,
TR,CC,S,TA,B,L,,,,,,
YU,CW,S,AL,X,E,,,,,,
YU,CW,D,TA,B,H,,,,,,
AL,CC,S,TA,B,L,,,,,,
TR,CW,B,AL,N,H,,,,,,
AL,CC,S,TR,B,L,,,,,,
TR,CC,S,AL,B,E,,,,,,
YU,CW,S,AL,B,E,,,,,,
TR,CW,S,AL,B,L>E,,,,,,
TR,CW,S,YU,X,E,,,,,,
TR,CW,B,YU,X,E,,,,,,
TR,CW,S,YU,X,E,,,,,,
YU,CW,B,TA,X,L,,,,,,
AL,CW,B,YU,X,E,,,,,,
YU,CW,S,TR,X,E,AL,X,L,,,
AL,CC,S,YU,X,E,,,,,,
AL,CW,S,TR,X,H,,,,,,
YU,CW,S,TA,X,E,AL,X,L,,,
AL,CW,B,TR,X,E,,,,,,
YU,CW,S,AL,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,D,YU,X,H,,,,,,
YU,CW,S,AL,N,H,,,,,,
YU,CW,S,AL,X,E,TA,X,E,,,
YU,CW,S,AL,X,E,,,,,,
TR,CW,B,YU,X,H,AL,B,E,,,
AL,CW,S,TR,A,L,,,,,,
AL,CC,S,YU,N,E,,,,,,
TR,CC,S,YU,B,E,,,,,,
TA,CC,S,YU,B,E,,,,,,
YU,CW,S,TA,A,L,,,,,,
TR,CC,S,TA,B,E,AL,X,E,,,
TR,CC,D,YU,N,H,,,,,,
TR,CC,S,AL,X,E,,,,,,
AL,CW,S,YU,X,,,,,,,
TR,CC,B,YU,N,H,,,,,,
TR,CC,B,AL,X,E,,,,,,
AL,CW,S,TR,X,H,,,,,,
TR,CC,D,YU,N,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
TR,CW,B,TA,X,E,,,,,,
TA,CW,B,YU,A,,,,,,,
AL,CW,S,YU,X,H,,,,,,
AL,CW,S,TR,B,L,YU,B,H,,,
TR,CW,B,YU,X,H,,,,,,
TR,CC,B,YU,B>N>A,H,,,,,,
TR,CC,B,TA,X,,YU,B,,,,
AL,CW,B,AL,B,H,,,,,,
TA,CW,B,AL,B,E,,,,,,
AL,CW,B,TA,A,E,,,,,,
TR,CW,D,YU,X,L,,,,,,
TA,CC,VD,AL,B,H,,,,,,
TA,CW,B,AL,B,,,,,,,
AL,CW,S,TA,B,,,,,,,
TR,CC,VD,YU,B>N>A,H,,,,,,
YU,CW,S,TR,B,L,,,,,,
AL,CW,B,TA,B,,,,,,,
AL,CW,B,TA,B,,,,,,,
TA,CC,D,TR,A,L,YU,A,H,AL,B,H
TR,CC,VD,TA,B,H,YU,B,H,AL,B,H
AL,CW,B,YU,X,,,,,,,
TA,CW,,AL,A>N>B,N,,,,,,
AL,CC,B,YU,B,L,,,,,,
YU,CW,B,AL,A,H,,,,,,
TR,CC,D,AL,B,E,,,,,,
TA,CC,VD,YU,B>N>A,H,,,,,,
AL,CW,S,TA,B,?,TR,X,L,,,
YU,CW,S,AL,A,H,,,,,,
AL,CW,S,TA,B,,,,,,,
TR,CW,S,AL,A,,,,,,,
TR,CC,S,YU,B,,,,,,,
TR,CC,S,AL,X,,TR,,,,,
TA,CC,S,YU,A,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,B,TA,A,H,,,,,,
TA,CC,D,YU,B,L,,,,,,
TR,CC,D,TA,B,H,,,,,,
TA,CC,B,TR,A,L,,,,,,
YU,CW,B,TA,B,H,,,,,,
YU,CW,B,TA,B,E,,,,,,
YU,CW,B,TA,A,L,,,,,,
TA,CC,VD,YU,B,H,,,,,,
YU,CW,S,AL,X,E,TA,X,E,,,
TR,CC,S,TA,B>N,E,,,,,,
YU,CW,S,AL,X,E,,,,,,
YU,CW,VD,TR,B>N,H,,,,,,
AL,CW,S,YU,X,E,,,,,,
YU,CW,S,TR,X,L,,,,,,
YU,CW,S,TR,X,L,,,,,,
TR,CC,B,YU,B,L,,,,,,
AL,CC,S,YU,A,L,,,,,,
TR,CC,B,YU,B,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
YU,CW,B,AL,A>N>B,H,,,,,,
YU,CW,B,AL,B,H,,,,,,
TA,CW,B,TR,N>B,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
YU,CW,B,TR,A,H,,,,,,
TR,CC,D,TA,A,H,,,,,,
YU,CW,S,TA,X,E,,,,,,
YU,CW,S,TA,X,L,,,,,,
TA,CC,VD,TR,A,H,,,,,,
TR,CC,B,TA,B,L,,,,,,
TA,CC,VD,YU,A,H,AL,B,H,,,
AL,CC,B,TA,A,L,,,,,,
AL,CC,S,YU,B,L,TR,X,L,,,
YU,CW,D,AL,A,H,TR,X,H,,,
AL,CW,S,YU,X,L,,,,,,
YU,CW,VD,AL,X,H,,,,,,
AL,CC,S,TR,X,L,,,,,,
AL,CC,S,YU,B,L,TR,X,E,,,
YU,CW,B,TA,B,L,,,,,,
TA,CW,B,TR,B,L,YU,X,H,,,
AL,CC,B,TR,X,L,,,,,,
TR,CW,S,AL,X,H,,,,,,
TR,CW,S,TA,X,L,,,,,,
TR,CC,B,TA,X,E,,,,,,
TA,CW,B,YU,X,E,,,,,,
YU,CW,D,TA,X,B,,,,,,
TA,CW,D,YU,X,E,AL,B,H,,,
TA,CC,B,YU,B>A,L,TR,A,E,,,
AL,CW,B,YU,X,E,,,,,,
TA,CW,B,YU,X,H,,,,,,
TR,CC,D,AL,X,E,,,,,,
YU,CW,B,AL,X,H,,,,,,
TA,CW,S,YU,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,B,YU,X,H,,,,,,
AL,CW,S,TR,X,E,YU,X,E,,,
AL,CW,S,TR,B>A,?,YU,X,E,,,
YU,CW,S,TR,A,E,AL,X,E,,,
TA,CW,B,TR,,,,,,,,
YU,CW,B,TR,X,E,,,,,,
TR,CW,B,YU,X,H,,,,,,
AL,CW,B,YU,X,E,,,,,,
YU,CW,S,AL,X,L,TA,X,E,,,
TR,CW,B,AL,X,E,,,,,,
YU,CW,B,TA,X,L,,,,,,
AL,CW,B,TA,B>A,E,YU,H,H,,,
TR,CC,D,TA,X,H,,,,,,
TA,CW,B,TR,X,L,,,,,,
AL,CW,B,YU,X,E,,,,,,
YU,CW,S,TA,X,E,,,,,,
TA,CW,S,TR,X,L,,,,,,
TA,CW,B,TR,X,E,YU,X,E,,,
YU,CW,B,TA,A,,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CW,B,YU,X,H,,,,,,
YU,CW,B,TR,X,H,,,,,,
AL,CW,S,TA,B>A,E,,,,,,
YU,CW,B,TA,X,E,,,,,,
YU,CW,D,TR,A>N>B,H,,,,,,
TR,CC,B,YU,B>A,D,,,,,,
YU,CW,B,TR,X,H,,,,,,
AL,CW,S,TA,B>A,H>L,,,,,,
TR,CW,B,YU,X,L,,,,,,
YU,CW,D,TR,X,H,,,,,,
AL,CW,S,TA,X,E,AL,X,E,,,
TR,CC,S,TA,X,L,AL,X,L,YU,B,L
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,D,YU,A,L,,,,,,
YU,CW,B,TA,A,H,,,,,,
YU,CW,B,TA,B,E,,,,,,
TA,CC,S,YU,A,E,,,,,,
YU,CW,S,TR,X,L,,,,,,
TA,CC,B,YU,B>A,L,,,,,,
AL,CW,B,YU,B>A,L,,,,,,
TR,CC,S,YU,A,E,,,,,,
TA,CC,S,TR,X,L,,,,,,
TR,CW,S,TA,X,H,,,,,,
TA,CC,S,TR,X,E,,,,,,
AL,CC,S,YU,B>A,L,,,,,,
TA,CW,B,AL,X,H,,,,,,
AL,CW,B,YU,X,,,,,,,
AL,CW,B,YU,X,H,,,,,,
AL,CW,B,YU,X,H,,,,,,
TA,CC,D,YU,B,,,,,,,
AL,CW,S,TR,B>N,,,,,,,
TA,CC,VD,YU,B,H,,,,,,
YU,CW,B,TA,A,L,,,,,,
TA,CC,VD,YU,B,H,,,,,,
YU,CW,S,TA,A,E,,,,,,
TA,CC,S,YU,B,E,,,,,,
TA,CW,B,TR,B,E,,,,,,
TA,CC,B,TR,B,H,,,,,,
TR,CC,B,TA,A,L,,,,,,
YU,CW,B,TR,X,L,,,,,,
TA,CC,VD,AL,A,H,,,,,,
AL,CC,S,TA,B,L,,,,,,
TR,CW,B,YU,X,H,,,,,,
YU,CW,S,TR,X,L,,,,,,
TA,CC,VD,YU,B>N>A,H,,,,,,
TA,CC,D,TR,X,L,,,,,,
TR,CW,B,YU,X,H,,,,,,
YU,CW,B,TR,X,L,,,,,,
YU,CW,D,TR,X,L,,,,,,
TR,CW,B,AL,B,E,,,,,,
AL,CC,S,YU,B,L,,,,,,
YU,CW,B,AL,A,H,,,,,,
TA,CC,D,TR,X,L,,,,,,
TA,CC,D,TR,X,H,,,,,,
TR,CW,S,AL,X,L,,,,,,
AL,CC,B,TR,X,H,,,,,,
AL,CC,B,YU,B,L,,,,,,
AL,CC,B,TA,B,L,,,,,,
TR,CW,S,YU,X,H,,,,,,
YU,CW,D,TA,X,L,,,,,,
TA,CC,B,AL,X,L,,,,,,
TR,CC,D,TA,X,L,,,,,,
YU,CW,D,AL,X,L,,,,,,
TR,CC,B,YU,B,,,,,,,
TR,CC,B,AL,X,L,,,,,,
TR,CC,B,TA,X,L,,,,,,
TR,CC,B,TA,X,L,,,,,,
YU,CW,D,AL,X,L,,,,,,
YU,CW,B,AL,X,L,,,,,,
TR,CC,D,TA,A,H,,,,,,
TR,CW,B,YU,X,L,,,,,,
YU,CW,S,TR,A>B,L,,,,,,
TR,CC,S,YU,B>A,E,,,,,,
TA,CC,S,YU,B>A,E>H,AL,B>N,H,,,
TR,CC,D,YU,B>A,H,,,,,,
TA,CW,B,TR,X,H,,,,,,
TR,CC,D,TA,X,L,,,,,,
TA,CC,B,YU,B>A,H,,,,,,
TR,CW,B,YU,X,H,,,,,,
YU,CW,S,TR,X,L,,,,,,
AL,CC,S,TR,A,L,,,,,,
TR,CC,D,AL,B,H,,,,,,
AL,CC,S,TR,A,L,,,,,,
TR,CC,S,AL,B,H,,,,,,
YU,CW,S,TA,X,L,,,,,,
TA,CW,D,YU,X,H,,,,,,
AL,CC,S,TR,A,L,,,,,,
TR,CC,D,AL,B,H,,,,,,
TA,CC,B,YU,B>A,L>E,,,,,,
AL,CC,S,TR,X,L,,,,,,
TA,CW,B,YU,X,H,,,,,,
TA,CC,D,YU,X,H,,,,,,
TA,CW,D,TR,X,E,,,,,,
TR,CC,D,TA,X,E,,,,,,
TA,CW,S,TR,X,L,,,,,,
TR,CW,B,YU,X,H,,,,,,
AL,CW,B,TA,X,H,,,,,,
TA,CW,B,YU,X,H,,,,,,
TR,CW,B,YU,X,,,,,,,
AL,CC,S,Nandi,B>N>A,L,,,,,,
AL,CW,S,TR,X,,,,,,,
AL,CW,B,Nandi,N,L,,,,,,
AL,CC,S,TR,X,L,,,,,,
TA,CW,B,YU,X,H,,,,,,
TA,CW,B,YU,X,H,,,,,,
YU,CW,S,TA,X,L,,,,,,
TR,CC,S,AL,,,,,,,,
AL,CW,S,TR,,,,,,,,
YU,CW,S,AL,X,L,,,,,,
AL,CC,B,TR,X,L,,,,,,
TR,CC,D,TA,N>A,H,,,,,,
TR,CC,S,TA,B,L,,,,,,
TA,CC,S,TR,A,H,,,,,,
TR,CC,D,TA,X,E,,,,,,
TA,CW,D,TR,X,E,,,,,,
AL,CW,S,TA,B,H,,,,,,
TA,CW,S,AL,A,L,,,,,,
TR,CC,B,TA,X,L,,,,,,
TA,CW,B,AL,A>B,L>E,,,,,,
TR,CC,S,TA,N,H,,,,,,
TA,CC,S,TR,N,L,,,,,,
TA,CW,S,AL,A>B,E,,,,,,
TA,CW,S,TR,A,E,,,,,,
TR,CW,B,TA,B,E,,,,,,
AL,CW,B,TA,B,L,,,,,,
TA,CC,VD,AL,A,H,,,,,,
TR,CW,B,AL,X,H,,,,,,
TR,CW,B,AL,X,H,,,,,,
TA,CC,B,TR,B,L,,,,,,
TR,CC,D,TA,A,H,,,,,,
TA,CC,D,TR,X,L,,,,,,
TR,CW,VD,TA,X,H,,,,,,
TR,CW,S,TA,X,E,,,,,,
AL,CC,B,YU,X,L,,,,,,
TR,CC,B,YU,X,D,,,,,,
TA,CC,D,AL,B>A,H,,,,,,
TA,CC,VD,TR,X,H,,,,,,
TR,CW,D,TA,X,L,,,,,,
TA,CW,B,TR,N>A,L,,,,,,
TR,CC,S,TA,X,H,,,,,,
TA,CW,B,TR,X,L,,,,,,
TA,CW,D,TR,B,H,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,A,E,,,,,,
AL,CW,S,TA,B>N>A,E,,,,,,
TA,CC,D,TR,A,H,,,,,,
TR,CC,B,TA,A,L,,,,,,
TR,CW,S,AL,A,E,,,,,,
AL,CW,S,TR,X,H,,,,,,
AL,CW,B,TR,,H,,,,,,
AL,CW,S,TR,A,H,YU,A,H,,,
YU,CW,B,TR,A,L,,,,,,
AL,CW,S,TR,A,H,,,,,,
YU,CW,S,TA,A,H,,,,,,
AL,CW,S,TA,YESAY,,,,,,,
TA,CW,VD,AL,X,H,,,,,,
AL,CC,S,TA,X,L,,,,,,
TA,CW,S,AL,B,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
TR,CW,S,TA,B,E,,,,,,
TR,CW,S,TA,X,L,AL,B,L,,,
AL,CW,S,TA,B,,,,,,,
AL,CW,S,TA,B,,,,,,,
AL,CW,S,TR,X,E,,,,,,
TR,CW,S,TA,B,E,,,,,,
TA,CW,S,YU,N,E,,,,,,
AL,CW,S,TA,B>N>A,E,,,,,,
TR,CW,B,YU,B,H,,,,,,
AL,CW,S,TR,B>N>A,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
AL,CC,S,TA,X,E,,,,,,
TA,CC,B,AL,,,,,,,,
TR,CW,S,AL,A,H,,,,,,
YU,CW,S,AL,A,H,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,TR,X,E,,,
AL,CC,S,TR,X,,,,,,,
TR,CW,S,AL,A,E,,,,,,
TR,CW,S,YU,A,E,,,,,,
YU,CW,S,AL,B,E,,,,,,
AL,CW,S,YU,A,E,,,,,,
TA,CW,S,AL,B,H,,,,,,
AL,CW,S,TA,A,L,YU,B,E,,,
AL,CW,S,TR,,H,TA,,H,,,
TA,CW,S,TR,B,H,,,,,,
TR,CC,B,YU,X,L,,,,,,
AL,CW,S,TR,B,L,,,,,,
TR,CC,B,YU,X,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
TA,CC,B,YU,X,H,,,,,,
AL,CW,S,TA,A,,YU,B,,,,
TR,CC,S,TA,X,E,,,,,,
AL,CW,S,TR,B,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,B,E>L,,,,,,
TR,CW,B,TA,B,H,,,,,,
TA,CW,S,TR,X,E,,,,,,
AL,CW,S,TA,B>A,E,,,,,,
TA,CW,B,TR,B,L,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CW,B,TR,X,E,,,,,,
AL,CW,S,TA,B,E,YU,,H,,,
AL,CW,S,TA,B,H,TR,,L,,,
TA,CW,B,AL,B>A,,,,,,,
TA,CW,B,TR,A,E,,,,,,
YU,CW,B,TR,A,,,,,,,
TR,CW,D,YU,B,H,,,,,,
TA,CC,VD,TR,A,H,,,,,,
TA,CC,D,TR,B,H,,,,,,
AL,CW,S,TR,X,,,,,,,
TR,CW,S,TA,A,,,,,,,
TR,CW,S,TA,B,,,,,,,
TR,CC,VD,TA,A,H,,,,,,
TR,CW,D,TA,X,L,,,,,,
YU,CW,B,TA,X,L,,,,,,
AL,CW,S,TR,N,E,,,,,,
TR,CC,S,TA,X,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
TA,CC,B,TR,X,E,,,,,,
AL,CW,S,TA,X,L,TR,X,E,,,
AL,CW,B,TR,X,H,,,,,,
TR,CW,D,YU,,H,,,,,,
AL,CW,S,TA,B>A,H,,,,,,
AL,CW,S,TA,A,E,TR,X,L,,,
TR,CC,S,AL,X,H,,,,,,
AL,CW,S,TR,X,L,TA,B,E,,,
TR,CC,VD,AL,A,H,,,,,,
TR,CC,B,AL,X,H,,,,,,
TR,CW,S,AL,B,L,,,,,,
TR,CW,S,YU,A,E,,,,,,
AL,CW,S,TR,A,E,,,,,,
TA,CC,VD,AL,,H,,,,,,
AL,CW,B,TA,A,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
TA,CC,VD,TR,B>N,H,,,,,,
TA,CC,D,AL,N>A,H,,,,,,
TR,CW,S,YU,A,E,,,,,,
TA,CC,B,TR,X,L,,,,,,
TA,CC,D,AL,,,,,,,,
AL,CC,S,TA,B,E,,,,,,
TR,CC,S,TA,X,L,,,,,,
AL,CW,S,TR,X,,,,,,,
TR,CC,S,TA,X,,,,,,,
AL,CW,S,TA,YESAY,H,,,,,,
TR,CW,S,TA,B,,,,,,,
TA,CW,S,TR,A,,,,,,,
AL,CW,B,TA,B,,,,,,,
TA,CW,B,TR,X,L,,,,,,
TR,CW,B,AL,B,,,,,,,
AL,CW,S,YU,B,?,TR,X,L,,,
AL,CW,S,TR,B,,,,,,,
TR,CW,B,TR,B>N,,,,,,,
AL,CW,S,TR,B>N>A,,,,,,,
TR,CW,D,AL,N>B,,,,,,,
AL,CW,S,TR,N,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
TR,CW,VD,TA,A,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TR,A,L,,,,,,
AL,CW,S,TR,B>A,E,TA,X,L,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,X,L,,,,,,
TR,CW,B,AL,N>B,E>H,,,,,,
AL,CW,D,TR,X,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,B,TR,X,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
TR,CC,B,TA,X,H,,,,,,
TR,CC,D,TA,B,H,AL,X,H,,,
AL,CW,S,TA,B>A,H,,,,,,
AL,CW,B,TA,A,H,,,,,,
AL,CC,S,YU,X,,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,B,E,,,,,,
TA,CW,B,TR,X,L,,,,,,
AL,CC,B,TR,B,L,,,,,,
TR,CC,B,AL,A,E,,,,,,
TA,CC,D,YU,B,H,,,,,,
AL,CC,B,TR,B,L,,,,,,
TR,CC,B,TA,B,E,,,,,,
TA,CW,B,TR,B,E,,,,,,
TR,CW,S,AL,B,E,,,,,,
AL,CW,S,TR,A,E,,,,,,
TR,CW,B,AL,B,,,,,,,
AL,CW,S,TR,X,H,,,,,,
TA,CW,S,AL,B,E,,,,,,
TR,CC,S,TA,X,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CC,B,AL,X,H,,,,,,
TR,CC,B,AL,X,H,TA,?,H,,,
AL,CW,S,TA,B>A,E,,,,,,
TA,CW,S,AL,A>B,E,,,,,,
AL,CW,S,TR,A>B,L,,,,,,
AL,CC,S,TA,X,H,,,,,,
AL,CW,S,TR,B,L,,,,,,
TA,CW,B,TR,B,E,,,,,,
AL,CW,S,TA,B,E,TR,B,E,,,
TA,CC,D,TR,X,E,,,,,,
TA,CC,B,TR,X,L,,,,,,
TR,CW,D,TA,X,H,,,,,,
TA,CW,B,TR,X,H,,,,,,
AL,CC,S,TR,B,L,,,,,,
AL,CC,S,TA,N,L,,,,,,
AL,CC,S,TR,A,L,,,,,,
TA,CC,D,AL,B,H,,,,,,
TA,CW,B,TR,X,YESAY,,,,,,
TR,CC,B,AL,X,E,,,,,,
TR,CW,S,AL,B,,,,,,,
AL,CW,B,TR,B,L,,,,,,
YU,CW,B,YU,X,,TA,X,,,,
TA,CW,S,AL,B,,,,,,,
AL,CW,S,AL,B>A,L,,,,,,
TR,CW,B,AL,B,H,,,,,,
TR,CW,D,TA,A,H,,,,,,
AL,CW,S,TA,A,E,,,,,,
TA,CW,S,AL,,,,,,,,
AL,CW,S,TA,A,E,,,,,,
AL,CC,S,YU,X,E,,,,,,
TR,CW,S,TA,X,L,AL,B,?,,,
TA,CW,S,TR,B,,,,,,,
TA,CW,S,TR,B,,,,,,,
TR,CW,S,TA,B,,,,,,,
AL,CW,S,TR,B,,,,,,,
TA,CW,S,TR,,B,,,,,,
TA,CW,S,TR,X,L,,,,,,
AL,CW,S,TR,A,,,,,,,
AL,CW,S,TA,A,,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,A,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
AL,CW,S,TR,B,L,,,,,,
TR,CW,B,AL,A,H,,,,,,
AL,CW,S,TR,B,E>L,,,,,,
TR,CW,S,AL,A,E>H,,,,,,
TR,CW,S,AL,A,E,,,,,,
AL,CW,S,TA,B,E,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,,,,,,
TR,CW,S,YU,B,E,,,,,,
TA,CW,S,TA,A,E,,,,,,
TA,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,,,,,,
TA,CW,B,TR,X,H,,,,,,
TA,CW,B,TR,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TR,X,,,,,,,
TR,CW,S,TA,A,E,,,,,,
TA,CW,D,TR,X,,,,,,,
TR,CW,S,TA,A,E,,,,,,
TA,CW,S,TR,B,L,,,,,,
TA,CW,S,TR,X,E,,,,,,
TR,CW,B,TA,X,E,,,,,,
AL,CW,S,TA,B>A,E,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TR,X,E,TA,N,E,,,
TR,CC,S,AL,A,E,,,,,,
TA,CC,S,AL,A,E,TR,B,E,,,
AL,CW,S,TA,B,E,,,,,,
AL,CC,S,TR,B,L,,,,,,
AL,CC,S,TA,A,?,TR,B,B,,,
AL,CC,S,TA,B,E,,,,,,
TR,CW,S,AL,B,H,,,,,,
AL,CW,S,TR,X,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
TR,CW,S,AL,X,,,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CW,S,TR,A,E,,,,,,
YU,CW,S,AL,X,,,,,,,
TA,CW,S,TR,B>N,E,,,,,,
TA,CW,B,TR,X,H,,,,,,
AL,CW,B,TR,X,E,,,,,,
TR,CW,B,AL,B,H,,,,,,
TA,CW,S,Nandi,X,H,,,,,,
TR,CC,S,AL,X,E,,,,,,
TA,CW,S,TR,A,,,,,,,
TA,CW,S,TR,X,E,,,,,,
AL,CW,S,TA,X,L,,,,,,
TR,CC,S,TA,X,E,,,,,,
AL,CW,S,,X,,,,,,,
TA,CC,B,AL,X,,,,,,,
TR,CC,B,AL,X,,,,,,,
TR,CW,S,AL,A,H,,,,,,
AL,CW,S,TA,X,,,,,,,
TA,CW,S,TR,X,L,,,,,,
TR,CC,S,TA,X,L,,,,,,
AL,CC,S,TA,X,L,,,,,,
AL,CC,S,TR,B,,,,,,,
AL,CW,S,T,X,E,,,,,,
TR,CW,S,AL,X,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
AL,CW,S,T,X,B,,,,,,
AL,CW,S,T,X,H,,,,,,
AL,CW,S,TR,X,,,,,,,
AL,CW,S,TA,B,L,,,,,,
AL,CW,B,TR,N,?,TA,X,E,,,
AL,CW,B,TA,B,E,,,,,,
AL,CW,B,TA,B,E,,,,,,
AL,CW,S,TR,A,E,,,,,,
TR,CW,S,AL,N,H,,,,,,
TR,CW,B,AL,B,H,,,,,,
TA,CW,B,AL,B,H,,,,,,
TR,CW,D,TR,X,H,,,,,,
AL,CW,B,TR,B,L,,,,,,
AL,CW,B,TR,X,L,,,,,,
AL,CW,B,TA,B,E,,,,,,
TA,CW,B,AL,X,E,,,,,,
TA,CC,D,TR,B,E,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CC,S,TA,N,L,,,,,,
TR,CC,B,TA,,E,,,,,,
TA,CC,S,TR,N,L,,,,,,
AL,CC,S,TA,B,L,,,,,,
TA,CW,S,TR,X,E,,,,,,
TR,CC,S,AL,A,E,,,,,,
TA,CW,B,TR,X,E,,,,,,
TA,CW,D,AL,A,,,,,,,
TR,CC,B,AL,X,E,,,,,,
TA,CW,B,TR,B,E,,,,,,
TA,CC,B,AL,X,L,YU,N,E,,,
TA,CC,B,TR,X,E,,,,,,
TR,CW,B,YU,N,E,,,,,,
TA,CC,B,YU,N,E,,,,,,
AL,CW,B,TR,B,L,,,E,,,
YU,CW,B,AL,B,E,,,,,,
TA,CW,S,TR,B,E,,,,,,
TA,CW,D,TR,X,L,,,,,,
TA,CW,D,TR,X,L,,,,,,
AL,CW,S,TA,B,E,TR,X,L,,,
AL,CW,S,TA,B,E,TR,X,L,,,
TA,CC,D,TR,B>N,H,,,,,,
TA,CC,D,TR,B>N,H,,,,,,
TA,CC,VD,TR,X,H,,,,,,
TA,CC,VD,TR,X,H,,,,,,
TA,CC,B,AL,X,H,TR,B,H,,,
TA,CC,D,AL,X,H,TR,B,H,,,
AL,CC,S,YU,X,L,,,,,,
AL,CC,S,TA,N,E,,,,,,
TA,CW,B,AL,A,H,,,,,,
TA,CW,VD,TR,B,H,,,,,,
AL,CC,S,,,,,,,,,
TA,CW,B,TR,N,H,,,,,,
AL,CC,S,TA,X,L,,,,,,
